,Unnamed: 0,id,name,position,lastName,age,gender,country,image,worth_in_BUSD,worthChange_in_MSD,realTimeWorth,realTimePosition,Industry,Company
701,701,8708,Zhang xin,650.0,Zhang,52.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/5a7d22214bbe6f2652f51261/416x416.jpg?background=000000&cropX1=518&cropX2=1853&cropY1=674&cropY2=2009,3.6,0.0,,683.0,Real estate  ,Real estate
702,702,4643,Anita zucker,651.0,Zucker,66.0,F,not_country_given,https://specials-images.forbesimg.com/imageserve/57e124e131358e16c589bb77/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=15&cropY2=759,3.6,-0.254,,985.0,Manufacturing  ,Chemicals
703,703,3475,Carlo benetton,652.0,Benetton,74.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/48e7014b81dcbb5af16440c90335228e/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=0&cropY2=741,3.5,0.001,,701.0,Fashion & retail  ,"Fashion retail, investments"
704,704,2786,Gilberto benetton,653.0,Benetton,77.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/589f893c4bbe6f0e55868e24/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=0&cropY2=743,3.5,0.001,,702.0,Fashion & retail  ,"Fashion retail, investments"
705,705,1532,Giuliana benetton,654.0,Benetton,80.0,F,not_country_given,https://specials-images.forbesimg.com/imageserve/5a7f90bf31358e4955ad1df2/416x416.jpg?background=000000&cropX1=207&cropX2=2084&cropY1=218&cropY2=2096,3.5,0.001,,703.0,Fashion & retail  ,"Fashion retail, investments"
706,706,4845,Luciano benetton,655.0,Benetton,83.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a7f9684a7ea431690132eb0/416x416.jpg?background=000000&cropX1=339&cropX2=1832&cropY1=240&cropY2=1734,3.5,0.0,,704.0,Fashion & retail  ,"Fashion retail, investments"
707,707,5672,Chen bang,656.0,Chen,52.0,M,China,https://specials-images.forbesimg.com/imageserve/2b6a0c7bcd0e173f3b342365e3667d14/416x416.jpg?background=000000&cropX1=27&cropX2=705&cropY1=63&cropY2=741,3.5,0.001,,375.0,Healthcare  ,Hospitals
708,708,5667,Kuldip singh & gurbachan singh dhingra,657.0,Dhingra,0.0,M,India,https://specials-images.forbesimg.com/imageserve/9d847c68baaab474610d6f09e72d3aff/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=300&cropY2=1044,3.5,0.0,,585.0,Manufacturing  ,Paints
709,709,9401,Abilio dos santos diniz,658.0,Diniz,81.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/5a7b795531358e4955acdd22/416x416.jpg?background=000000&cropX1=0&cropX2=3292&cropY1=330&cropY2=3620,3.5,0.0,,963.0,Fashion & retail  ,Retail
710,710,4136,Bernard ecclestone,659.0,Ecclestone,87.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a81552831358e4955ad3343/416x416.jpg?background=000000&cropX1=0&cropX2=4194&cropY1=0&cropY2=4192,3.5,0.0,,720.0,Sports  ,Formula one
711,711,7877,Judy faulkner,660.0,Faulkner,74.0,F,United States,https://specials-images.forbesimg.com/imageserve/59231261a7ea434078d441dc/416x416.jpg?background=000000&cropX1=187&cropX2=1015&cropY1=89&cropY2=916,3.5,0.0,,666.0,Technology  ,Health it
712,712,3438,Gao tianguo,661.0,Gao,66.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/59231261a7ea434078d441dc/416x416.jpg?background=000000&cropX1=187&cropX2=1015&cropY1=89&cropY2=916,3.5,0.0,,1061.0,Real estate  ,"Real estate, finance"
713,713,4194,Joshua harris,662.0,Harris,53.0,not_gender_given,United States,https://specials-images.forbesimg.com/imageserve/59dbe59ba7ea436b47b39e9e/416x416.jpg?background=000000&cropX1=871&cropX2=1714&cropY1=764&cropY2=1607,3.5,0.001,,680.0,Finance and investments  ,Private equity
714,714,1510,Arthur irving,663.0,Irving,88.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a7ba14f31358e4955ace08e/416x416.jpg?background=000000&cropX1=2&cropX2=542&cropY1=70&cropY2=610,3.5,0.0,,502.0,Energy  ,Oil
715,715,1994,Baba kalyani,664.0,Kalyani,69.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/57d88af331358e16c5898fd0/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=250&cropY2=993,3.5,0.0,,847.0,Construction & engineering  ,Engineering
716,716,2384,Dmitry kamenshchik,665.0,Kamenshchik,50.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/5a80a27ba7ea431690133adf/416x416.jpg?background=000000&cropX1=674&cropX2=3343&cropY1=0&cropY2=2667,3.5,0.0,,729.0,Service  ,Airport
717,717,8960,Douglas leone,666.0,Leone,60.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/59dbe96a31358e542c0382f6/416x416.jpg?background=000000&cropX1=227&cropX2=3304&cropY1=600&cropY2=3678,3.5,0.0,,580.0,Finance and investments  ,Venture capital
718,718,6040,Edwin leong,667.0,Leong,66.0,M,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e697a4bbe6f2652f52a5c/416x416.jpg?background=000000&cropX1=697&cropX2=3366&cropY1=0&cropY2=2667,3.5,0.0,,674.0,Real estate  ,Real estate
719,719,5329,Arnon milchan,668.0,Milchan,73.0,M,Israel,https://specials-images.forbesimg.com/imageserve/5a7f7a8f31358e4955ad1d1a/416x416.jpg?background=000000&cropX1=121&cropX2=855&cropY1=4&cropY2=738,3.5,0.0,,630.0,Media & entertainment  ,Movie making
720,720,7808,Maren otto,669.0,Otto,0.0,F,Germany,https://specials-images.forbesimg.com/imageserve/5a7e2cd1a7ea431690132368/416x416.jpg?background=000000&cropX1=334&cropX2=1593&cropY1=572&cropY2=1832,3.5,0.0,,687.0,Diversified  ,"Retail, real estate"
721,721,5504,Anthony pritzker,670.0,Pritzker,57.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/d7f2d1d54a71e885322e1318b12e4baf/416x416.jpg?background=000000&cropX1=64&cropX2=644&cropY1=105&cropY2=685,3.5,0.0,,677.0,Service  ,"Hotels, investments"
722,722,3008,Jay robert (j.b.) pritzker,671.0,Pritzker,53.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/59dbdd1e31358e542c0381c2/416x416.jpg?background=000000&cropX1=263&cropX2=880&cropY1=174&cropY2=791,3.5,0.0,,678.0,Finance and investments  ,"Hotels, investments"
723,723,1121,Mitchell rales,672.0,Rales,61.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/3583fac6b4a087511b3779870cca97f2/416x416.jpg?background=000000&cropX1=116&cropX2=744&cropY1=147&cropY2=775,3.5,0.001,,604.0,Manufacturing  ,"Manufacturing, investments"
724,724,4301,Kjell inge rokke,673.0,Rokke,59.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/58a244daa7ea431f32197300/416x416.jpg?background=000000&cropX1=167&cropX2=573&cropY1=55&cropY2=461,3.5,0.0,,455.0,Logistics  ,"Shipping, seafood"
725,725,7063,"Bernard saul, ii.",674.0,Saul,86.0,not_gender_given,not_country_given,https:http://specials-images.forbesimg.com/imageserve/e2b0e387987c0fa0aef2253b5912e328/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792,3.5,-0.001,,648.0,Finance and investments  ,"Banking, real estate"
726,726,7470,Donald sterling,675.0,Sterling,84.0,M,United States,https://specials-images.forbesimg.com/imageserve/59dbdbf231358e542c038181/416x416.jpg?background=000000&cropX1=690&cropX2=1525&cropY1=459&cropY2=1295,3.5,0.0,,663.0,Real estate  ,Real estate
727,727,8387,Tahir,676.0,Tahir,66.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a19af6da7ea432f2e7401c7/416x416.jpg?background=000000&cropX1=122&cropX2=1814&cropY1=3&cropY2=1694,3.5,0.0,,682.0,Diversified  ,Diversified
