,id,lastName,age,Unnamed: 0,gender,country,image,id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition,id,name,position,Unnamed: 0
60,3252,LEE,76 years old,112,None,South Korea,https://specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737,3252,112,Diversified  ==> Samsung,18.6 BUSD,0.0 millions USD,,62,3252,LEE KUN-Hee,61.0,112
61,6412,MITTAL,68 years old,113,M,India,https://specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359,6412,113,Metals & Mining  ==> steel,18.5 BUSD,0.001 millions USD,,63,6412,lakSHMI MITTAl,62.0,113
62,1732,WANG,48 years old,114,Male,China,https://specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834,1732,114,Service  ==> package delivery,18.2 BUSD,0.0 millions USD,,64,1732,wanG WEi,63.0,114
63,2248,mIKHELSon,62 years old,115,None,None,https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522,2248,115,"Energy  ==> gas, chemicals",18.0 BUSD,0.0 millions USD,,59,2248,leonid MIKHELSon,64.0,115
64,3612,sirivadHANabhakdi,74 years old,116,None,None,https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829,3612,116,"Food and Beverage  ==> drinks, real estate",17.9 BUSD,0.0 millions USD,,87,3612,charoEN SIRIVADHanabhakdi,65.0,116
65,4337,mISTRy,89 years old,117,None,Ireland,https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744,4337,117,Construction & Engineering  ==> construction,17.8 BUSD,0.0 millions USD,,57,4337,PALLONJI MISTRy,66.0,117
66,2571,dALIo,68 years old,118,M,None,https://specials-images.forbesimg.com/imageserve/5ac959f74bbe6f2310f1e05c/416x416.jpg?background=000000&cropX1=777&cropX2=3143&cropY1=114&cropY2=2478,2571,118,Finance and Investments  ==> hedge funds,17.7 BUSD,0.0 millions USD,,68,2571,ray DALio,67.0,118
67,9006,takIZAKI,73 years old,119,None,None,https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860,9006,119,Manufacturing  ==> sensors,17.5 BUSD,0.0 millions USD,,65,9006,takeMITSU TAKIZAKI,68.0,119
68,8982,DING,46 years old,120,Male,None,https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063,8982,120,Technology  ==> online games,17.4 BUSD,0.0 millions USD,,80,8982,WILLIAM Ding,69.0,120
69,5747,HARTOno,77 years old,121,M,Indonesia,https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754,5747,121,"Finance and Investments  ==> banking, tobacco",17.4 BUSD,0.0 millions USD,,91,5747,R. BUDI HArtono,70.0,121
70,8084,rinEHArt,64 years old,122,None,None,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995,8084,122,Metals & Mining  ==> mining,17.4 BUSD,-1.2570000000000001 millions USD,,66,8084,gina RINEHArt,71.0,122
71,3867,LARREA MOTA VELASCO,64 years old,123,Male,None,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069,3867,123,Metals & Mining  ==> mining,17.3 BUSD,0.0 millions USD,,86,3867,GERMAN LARREA MOTA VELASCO,72.0,123
72,1993,icAHN,82 years old,124,M,None,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744,1993,124,Finance and Investments  ==> investments,16.8 BUSD,0.0 millions USD,,58,1993,carl ICAHn,73.0,124
73,6485,pERSSON,70 years old,125,None,Sweden,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,6485,125,Fashion & Retail  ==> H&M,16.8 BUSD,0.0 millions USD,,78,6485,sTEFAN PERSSON,74.0,125
74,8934,harTOno,78 years old,126,Male,Indonesia,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,8934,126,"Manufacturing  ==> banking, tobacco",16.7 BUSD,0.0 millions USD,,102,8934,michaEL HARTONO,75.0,126
75,4903,LAU,66 years old,127,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033,4903,127,Real Estate  ==> real estate,16.7 BUSD,-0.001 millions USD,,73,4903,josEPH LAU,76.0,127
76,1262,kWOK,,128,Male,None,https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915,1262,128,Real Estate  ==> real estate,16.5 BUSD,0.0 millions USD,,75,1262,thomas & RAYMONd kwok,77.0,128
77,6987,alEKPEROV,67 years old,129,M,None,https://specials-images.forbesimg.com/imageserve/5a80c400a7ea431690133cb7/416x416.jpg?background=000000&cropX1=481&cropX2=2139&cropY1=0&cropY2=1658,6987,129,Energy  ==> oil,16.4 BUSD,0.0 millions USD,,69,6987,vagit ALEKPerov,78.0,129
