,id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition
145,8807,197,Service  ==> consulting,10.3 BUSD,0.0 millions USD,,154
146,2611,198,Technology  ==> software,10.2 BUSD,0.0 millions USD,,133
147,8695,199,Finance and Investments  ==> investments,10.1 BUSD,0.0 millions USD,,155
148,8032,200,Technology  ==> Facebook,10.1 BUSD,0.0 millions USD,,128
149,8529,201,Real Estate  ==> real estate,10.1 BUSD,-0.001 millions USD,,166
150,5728,202,"Finance and Investments  ==> investments, retail",10.0 BUSD,0.0 millions USD,,120
151,9564,203,"Energy  ==> oil, banking, telecom",9.8 BUSD,0.001 millions USD,,174
152,6941,204,Finance and Investments  ==> leveraged buyouts,9.8 BUSD,0.001 millions USD,,151
153,5106,205,"Diversified  ==> commodities, ports",9.7 BUSD,0.0 millions USD,,210
154,7211,206,Service  ==> Carnival Cruises,9.7 BUSD,0.0 millions USD,,161
155,2765,207,Technology  ==> electronics,9.7 BUSD,0.0 millions USD,,197
156,7578,208,Technology  ==> e-commerce,9.7 BUSD,0.001 millions USD,,138
157,3169,209,Healthcare  ==> health care,9.6 BUSD,0.0 millions USD,,148
158,4942,210,Finance and Investments  ==> investments,9.6 BUSD,3.946 millions USD,,167
159,8094,211,Fashion & Retail  ==> retail,9.5 BUSD,0.001 millions USD,,162
160,4813,212,Food and Beverage  ==> beverages,9.5 BUSD,0.0 millions USD,,163
161,7111,213,"Diversified  ==> real estate, shipping",9.4 BUSD,9.15 millions USD,,164
162,4947,214,Finance and Investments  ==> discount brokerage,9.4 BUSD,0.002 millions USD,,149
163,1786,215,Logistics  ==> Shipping,9.3 BUSD,0.0 millions USD,,177
164,3268,216,Manufacturing  ==> plumbing fixtures,9.3 BUSD,0.0 millions USD,,169
165,8970,217,Manufacturing  ==> steel,9.3 BUSD,0.0 millions USD,,173
166,7569,218,Real Estate  ==> real estate,9.2 BUSD,0.0 millions USD,,152
167,6050,219,Finance and Investments  ==> investments,9.2 BUSD,0.0 millions USD,,170
168,3836,220,Diversified  ==> conglomerate,9.2 BUSD,0.0 millions USD,,179
169,5627,221,Technology  ==> WhatsApp,9.1 BUSD,0.0 millions USD,,160
170,6666,222,Healthcare  ==> vaccines,9.1 BUSD,0.0 millions USD,,190
171,1921,223,Technology  ==> software,9.0 BUSD,0.0 millions USD,,150
172,4467,224,Finance and Investments  ==> hedge funds,9.0 BUSD,0.0 millions USD,,171
173,9015,225,Fashion & Retail  ==> luxury goods,8.9 BUSD,0.0 millions USD,,185
174,4847,226,"Healthcare  ==> biotech, investments",8.9 BUSD,0.0 millions USD,,178
175,3260,227,Metals & Mining  ==> steel,8.8 BUSD,0.0 millions USD,,193
176,8036,228,Telecom  ==> telecom,8.8 BUSD,0.0 millions USD,,205
177,7169,229,Media & Entertainment  ==> media,8.7 BUSD,0.0 millions USD,,268
178,1018,230,Media & Entertainment  ==> media,8.7 BUSD,0.0 millions USD,,269
179,2135,231,Media & Entertainment  ==> media,8.7 BUSD,0.0 millions USD,,270
180,4716,232,Technology  ==> electronics,8.5 BUSD,0.0 millions USD,,204
181,8024,233,Technology  ==> Intel,8.5 BUSD,0.0 millions USD,,153
182,7670,234,Diversified  ==> diversified,8.3 BUSD,0.0 millions USD,,183
183,4231,235,"Sports  ==> sports, real estate",8.3 BUSD,0.0 millions USD,,184
184,8752,236,Finance and Investments  ==> investments,8.2 BUSD,0.0 millions USD,,188
185,2170,237,Gambling & Casinos  ==> gambling,8.1 BUSD,0.0 millions USD,,209
186,4244,238,Diversified  ==> conglomerate,8.1 BUSD,0.0 millions USD,,189
187,3672,239,Media & Entertainment  ==> cable television,8.1 BUSD,0.326 millions USD,,201
188,4021,240,"Telecom  ==> internet, telecom",8.1 BUSD,0.001 millions USD,,322
189,3832,241,Diversified  ==> media,8.0 BUSD,0.063 millions USD,,231
190,7025,242,Healthcare  ==> medical devices,8.0 BUSD,0.0 millions USD,,176
191,8892,243,"Media & Entertainment  ==> movies, record labels",8.0 BUSD,0.0 millions USD,,182
192,3921,244,Real Estate  ==> real estate,8.0 BUSD,0.0 millions USD,,168
193,2360,245,Real Estate  ==> real estate,8.0 BUSD,0.001 millions USD,,196
194,5176,246,Finance and Investments  ==> hedge funds,8.0 BUSD,0.0 millions USD,,194
195,4780,247,Finance and Investments  ==> money management,7.9 BUSD,0.0 millions USD,,198
196,1717,248,Healthcare  ==> pharmaceuticals,7.9 BUSD,0.0 millions USD,,215
197,1918,249,Technology  ==> business software,7.8 BUSD,0.0 millions USD,,180
198,4034,250,"Energy  ==> oil & gas, banking",7.8 BUSD,0.0 millions USD,,195
199,7730,251,Healthcare  ==> pharmaceuticals,7.8 BUSD,-20.685 millions USD,,207
200,3163,252,Technology  ==> smartphone screens,7.8 BUSD,-0.001 millions USD,,272
201,1650,253,Metals & Mining  ==> diamonds,7.7 BUSD,0.0 millions USD,,200
202,8551,254,Healthcare  ==> pharmaceuticals,7.7 BUSD,0.0 millions USD,,131
203,4191,255,Real Estate  ==> real estate,7.7 BUSD,0.0 millions USD,,186
204,9378,256,"Energy  ==> oil, banking, telecom",7.6 BUSD,0.0 millions USD,,236
205,5384,257,Real Estate  ==> real estate,7.6 BUSD,0.0 millions USD,,206
206,9073,258,Finance and Investments  ==> investments,7.4 BUSD,0.0 millions USD,,293
207,5545,259,Food and Beverage  ==> Cargill,7.4 BUSD,0.0 millions USD,,212
208,8305,260,Diversified  ==> Samsung,7.4 BUSD,0.001 millions USD,,230
209,9247,261,Fashion & Retail  ==> fashion retail,7.4 BUSD,0.0 millions USD,,239
210,6247,262,Finance and Investments  ==> investments,7.3 BUSD,0.0 millions USD,,216
211,5171,263,"Energy  ==> hotels, energy",7.3 BUSD,0.0 millions USD,,202
212,8121,264,"Metals & Mining  ==> mining, metals, machinery",7.3 BUSD,0.0 millions USD,,229
213,3465,265,Healthcare  ==> health care,7.3 BUSD,0.0 millions USD,,225
214,3017,266,Real Estate  ==> real estate,7.3 BUSD,0.0 millions USD,,187
215,4267,267,Fashion & Retail  ==> Walmart,7.3 BUSD,0.0 millions USD,,259
216,5207,268,Automotive  ==> auto parts,7.2 BUSD,0.0 millions USD,,218
217,9252,269,"Telecom  ==> telecoms, media, oil-services",7.2 BUSD,0.005 millions USD,,274
218,2120,270,Energy  ==> oil,7.2 BUSD,0.0 millions USD,,175
219,6734,271,"Diversified  ==> banking, property",7.2 BUSD,0.0 millions USD,,221
220,5382,272,Real Estate  ==> real estate,7.2 BUSD,0.001 millions USD,,316
221,3664,273,Technology  ==> venture capital,7.1 BUSD,-0.001 millions USD,,181
222,9946,274,Telecom  ==> telecom,7.1 BUSD,0.0 millions USD,,601
223,8749,275,Food and Beverage  ==> beverages,7.1 BUSD,-0.001 millions USD,,267
224,1277,276,Construction & Engineering  ==> Construction,7.1 BUSD,0.0 millions USD,,240
225,5417,277,"Fashion & Retail  ==> retail, media",7.1 BUSD,0.0 millions USD,,327
226,2456,278,Fashion & Retail  ==> cosmetics,7.1 BUSD,0.001 millions USD,,226
227,4317,279,Finance and Investments  ==> financial services,7.0 BUSD,0.001 millions USD,,840
228,8265,280,Logistics  ==> shipping,7.0 BUSD,0.8029999999999999 millions USD,,213
229,4902,281,Manufacturing  ==> paints,7.0 BUSD,0.0 millions USD,,191
230,4238,282,Manufacturing  ==> polyester,7.0 BUSD,0.0 millions USD,,222
231,9134,283,Real Estate  ==> real estate,7.0 BUSD,-0.001 millions USD,,275
232,5858,284,Food and Beverage  ==> packaging,7.0 BUSD,0.0 millions USD,,208
233,1595,285,Fashion & Retail  ==> luxury goods,7.0 BUSD,-0.001 millions USD,,242
234,6954,286,Logistics  ==> shipping,7.0 BUSD,0.0 millions USD,,228
235,6432,287,Food and Beverage  ==> wine,7.0 BUSD,0.0 millions USD,,234
236,6768,288,Energy  ==> oil,6.9 BUSD,0.0 millions USD,,219
237,2944,289,Technology  ==> online games,6.9 BUSD,0.0 millions USD,,254
238,3234,290,Fashion & Retail  ==> Zara,6.9 BUSD,0.0 millions USD,,220
239,7727,291,Diversified  ==> diversified,6.9 BUSD,-0.057 millions USD,,243
240,5904,292,Finance and Investments  ==> hedge funds,6.9 BUSD,0.0 millions USD,,253
241,7728,293,Real Estate  ==> real estate,6.8 BUSD,0.0 millions USD,,386
242,1351,294,Fashion & Retail  ==> retail,6.8 BUSD,0.0 millions USD,,203
243,7502,295,Fashion & Retail  ==> supermarkets,6.8 BUSD,0.0 millions USD,,223
244,4595,296,Manufacturing  ==> fertilizer,6.8 BUSD,0.0 millions USD,,237
245,1358,297,"Food and Beverage  ==> food, beverages",6.8 BUSD,0.0 millions USD,,199
246,9917,298,Technology  ==> Google,6.8 BUSD,0.0 millions USD,,227
247,1381,299,"Metals & Mining  ==> aluminum, utilities",6.7 BUSD,0.001 millions USD,,681
248,8687,300,Service  ==> diversified,6.7 BUSD,0.0 millions USD,,249
249,6169,301,Finance and Investments  ==> pharmaceuticals,6.7 BUSD,0.0 millions USD,,306
250,1721,302,Technology  ==> WhatsApp,6.6 BUSD,0.0 millions USD,,256
251,4093,303,Finance and Investments  ==> private equity,6.6 BUSD,0.0 millions USD,,248
252,7522,304,Fashion & Retail  ==> Walmart,6.6 BUSD,0.0 millions USD,,313
253,5652,305,Food and Beverage  ==> candy,6.6 BUSD,0.0 millions USD,,255
254,5605,306,Food and Beverage  ==> packaging,6.6 BUSD,0.0 millions USD,,250
255,6536,307,Food and Beverage  ==> packaging,6.6 BUSD,0.0 millions USD,,251
256,9365,308,"Fashion & Retail  ==> retail, real estate",6.6 BUSD,0.0 millions USD,,261
257,1427,309,"Construction & Engineering  ==> construction, chemicals",6.6 BUSD,0.0 millions USD,,235
258,2353,310,Finance and Investments  ==> banking,6.6 BUSD,0.0 millions USD,,264
259,1733,311,Energy  ==> wind turbines,6.6 BUSD,0.0 millions USD,,305
260,9156,312,Finance and Investments  ==> private equity,6.5 BUSD,0.0 millions USD,,258
261,7415,313,Metals & Mining  ==> mining,6.5 BUSD,-0.805 millions USD,,241
262,6653,314,Finance and Investments  ==> hedge funds,6.5 BUSD,0.0 millions USD,,277
263,5283,315,Automotive  ==> automobiles,6.5 BUSD,0.0 millions USD,,365
264,4330,316,Real Estate  ==> real estate,6.4 BUSD,0.0 millions USD,,262
265,4185,317,Fashion & Retail  ==> retail,6.4 BUSD,nan millions USD,,262
266,8568,318,Media & Entertainment  ==> advertising,6.4 BUSD,0.0 millions USD,,308
267,3041,319,Finance and Investments  ==> investments,6.4 BUSD,0.0 millions USD,,396
268,5712,320,Real Estate  ==> real estate,6.4 BUSD,0.0 millions USD,,276
269,1338,321,Food and Beverage  ==> soy sauce maker,6.4 BUSD,0.0 millions USD,,172
270,1295,322,Finance and Investments  ==> hedge funds,6.4 BUSD,0.0 millions USD,,282
271,9621,323,Real Estate  ==> real estate,6.4 BUSD,0.0 millions USD,,337
272,9332,324,Real Estate  ==> real estate,6.4 BUSD,0.0 millions USD,,233
273,2112,325,Food and Beverage  ==> consumer goods,6.3 BUSD,0.0 millions USD,,252
274,5032,326,Healthcare  ==> optometry,6.3 BUSD,0.0 millions USD,,294
275,3208,327,Finance and Investments  ==> Quicken Loans,6.3 BUSD,0.0 millions USD,,257
276,1734,328,Diversified  ==> diversified,6.3 BUSD,0.0 millions USD,,285
277,8139,329,Automotive  ==> motorcycles,6.3 BUSD,0.0 millions USD,,266
278,4485,330,Real Estate  ==> real estate,6.3 BUSD,0.0 millions USD,,265
279,2635,331,Automotive  ==> auto parts,6.3 BUSD,0.0 millions USD,,329
280,9707,332,Finance and Investments  ==> investments,6.2 BUSD,0.0 millions USD,,299
281,5013,333,Energy  ==> pipelines,6.2 BUSD,0.0 millions USD,,273
282,3536,334,Sports  ==> New England Patriots,6.2 BUSD,0.0 millions USD,,278
283,8753,335,Fashion & Retail  ==> Ralph Lauren,6.2 BUSD,-3.216 millions USD,,232
284,4347,336,Finance and Investments  ==> banking,6.2 BUSD,0.0 millions USD,,331
285,6916,337,Food and Beverage  ==> consumer goods,6.2 BUSD,0.001 millions USD,,217
286,2547,338,Service  ==> food services,6.1 BUSD,0.0 millions USD,,377
287,1897,339,Fashion & Retail  ==> retail,6.1 BUSD,-1.569 millions USD,,335
288,3199,340,Manufacturing  ==> cement,6.0 BUSD,0.0 millions USD,,362
289,9693,341,Technology  ==> Google,6.0 BUSD,0.0 millions USD,,260
290,9947,342,"Fashion & Retail  ==> textiles, apparel",6.0 BUSD,0.0 millions USD,,192
291,3221,343,Food and Beverage  ==> Cargill,6.0 BUSD,0.0 millions USD,,291
292,1659,344,Diversified  ==> diversified,6.0 BUSD,0.0 millions USD,,359
293,1867,345,Automotive  ==> auto parts,6.0 BUSD,0.0 millions USD,,381
294,2582,346,Finance and Investments  ==> banking,6.0 BUSD,0.0 millions USD,,281
295,1423,347,Diversified  ==> diversified,5.9 BUSD,4.548 millions USD,,315
296,2365,348,"Food and Beverage  ==> beer, investments",5.9 BUSD,0.0 millions USD,,295
297,8666,349,Technology  ==> internet service provider,5.9 BUSD,0.0 millions USD,,300
298,9576,350,Real Estate  ==> shopping malls,5.9 BUSD,0.0 millions USD,,304
